shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_001,31.2304,121.4737,1,0
shp_001,31.2304,121.48169999999999,2,762.19
shp_001,31.2304,121.4897,3,1524.38
shp_001,31.2304,121.4977,4,2286.57
shp_001,31.2304,121.50569999999999,5,3048.76
shp_001,31.2304,121.5137,6,3810.95
shp_002,31.2304,121.4897,1,0
shp_002,31.2384,121.4897,2,886.99
shp_002,31.246399999999998,121.4897,3,1773.98
shp_002,31.2544,121.4897,4,2660.97
shp_002,31.2624,121.4897,5,3547.96
shp_002,31.2704,121.4897,6,4434.95
shp_003,31.2304,121.4737,1,0
shp_003,31.2384,121.48169999999999,2,1169.46
shp_003,31.246399999999998,121.4897,3,2338.88
shp_003,31.2544,121.4977,4,3508.25
shp_003,31.2624,121.50569999999999,5,4677.59
shp_003,31.2704,121.5137,6,5846.88
shp_004,31.2304,121.4737,1,0
shp_004,31.2304,121.5137,2,3810.95
shp_004,31.2704,121.5137,3,8245.91
shp_004,31.2704,121.4737,4,12055.25
shp_005,31.2704,121.4737,1,0
shp_005,31.2704,121.48169999999999,2,761.87
shp_005,31.2704,121.4897,3,1523.74
shp_005,31.2704,121.4977,4,2285.61
shp_005,31.2704,121.50569999999999,5,3047.48
shp_005,31.2704,121.5137,6,3809.35
