trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
T0001,06:30:00,06:30:15,S001,1,0,0
T0001,06:33:00,06:33:15,S002,2,0,0
T0001,06:36:00,06:36:15,S003,3,0,0
T0001,06:39:00,06:39:15,S004,4,0,0
T0001,06:42:00,06:42:15,S005,5,0,0
T0001,06:45:00,06:45:15,S006,6,0,0
T0002,08:30:00,08:30:15,S001,1,0,0
T0002,08:33:00,08:33:15,S002,2,0,0
T0002,08:36:00,08:36:15,S003,3,0,0
T0002,08:39:00,08:39:15,S004,4,0,0
T0002,08:42:00,08:42:15,S005,5,0,0
T0002,08:45:00,08:45:15,S006,6,0,0
T0003,10:30:00,10:30:15,S001,1,0,0
T0003,10:33:00,10:33:15,S002,2,0,0
T0003,10:36:00,10:36:15,S003,3,0,0
T0003,10:39:00,10:39:15,S004,4,0,0
T0003,10:42:00,10:42:15,S005,5,0,0
T0003,10:45:00,10:45:15,S006,6,0,0
T0004,12:30:00,12:30:15,S001,1,0,0
T0004,12:33:00,12:33:15,S002,2,0,0
T0004,12:36:00,12:36:15,S003,3,0,0
T0004,12:39:00,12:39:15,S004,4,0,0
T0004,12:42:00,12:42:15,S005,5,0,0
T0004,12:45:00,12:45:15,S006,6,0,0
T0005,14:30:00,14:30:15,S001,1,0,0
T0005,14:33:00,14:33:15,S002,2,0,0
T0005,14:36:00,14:36:15,S003,3,0,0
T0005,14:39:00,14:39:15,S004,4,0,0
T0005,14:42:00,14:42:15,S005,5,0,0
T0005,14:45:00,14:45:15,S006,6,0,0
T0006,16:30:00,16:30:15,S001,1,0,0
T0006,16:33:00,16:33:15,S002,2,0,0
T0006,16:36:00,16:36:15,S003,3,0,0
T0006,16:39:00,16:39:15,S004,4,0,0
T0006,16:42:00,16:42:15,S005,5,0,0
T0006,16:45:00,16:45:15,S006,6,0,0
T0007,18:30:00,18:30:15,S001,1,0,0
T0007,18:33:00,18:33:15,S002,2,0,0
T0007,18:36:00,18:36:15,S003,3,0,0
T0007,18:39:00,18:39:15,S004,4,0,0
T0007,18:42:00,18:42:15,S005,5,0,0
T0007,18:45:00,18:45:15,S006,6,0,0
T0008,20:30:00,20:30:15,S001,1,0,0
T0008,20:33:00,20:33:15,S002,2,0,0
T0008,20:36:00,20:36:15,S003,3,0,0
T0008,20:39:00,20:39:15,S004,4,0,0
T0008,20:42:00,20:42:15,S005,5,0,0
T0008,20:45:00,20:45:15,S006,6,0,0
T0009,06:30:00,06:30:15,S006,1,0,0
T0009,06:33:00,06:33:15,S005,2,0,0
T0009,06:36:00,06:36:15,S004,3,0,0
T0009,06:39:00,06:39:15,S003,4,0,0
T0009,06:42:00,06:42:15,S002,5,0,0
T0009,06:45:00,06:45:15,S001,6,0,0
T0010,08:30:00,08:30:15,S006,1,0,0
T0010,08:33:00,08:33:15,S005,2,0,0
T0010,08:36:00,08:36:15,S004,3,0,0
T0010,08:39:00,08:39:15,S003,4,0,0
T0010,08:42:00,08:42:15,S002,5,0,0
T0010,08:45:00,08:45:15,S001,6,0,0
T0011,10:30:00,10:30:15,S006,1,0,0
T0011,10:33:00,10:33:15,S005,2,0,0
T0011,10:36:00,10:36:15,S004,3,0,0
T0011,10:39:00,10:39:15,S003,4,0,0
T0011,10:42:00,10:42:15,S002,5,0,0
T0011,10:45:00,10:45:15,S001,6,0,0
T0012,12:30:00,12:30:15,S006,1,0,0
T0012,12:33:00,12:33:15,S005,2,0,0
T0012,12:36:00,12:36:15,S004,3,0,0
T0012,12:39:00,12:39:15,S003,4,0,0
T0012,12:42:00,12:42:15,S002,5,0,0
T0012,12:45:00,12:45:15,S001,6,0,0
T0013,14:30:00,14:30:15,S006,1,0,0
T0013,14:33:00,14:33:15,S005,2,0,0
T0013,14:36:00,14:36:15,S004,3,0,0
T0013,14:39:00,14:39:15,S003,4,0,0
T0013,14:42:00,14:42:15,S002,5,0,0
T0013,14:45:00,14:45:15,S001,6,0,0
T0014,16:30:00,16:30:15,S006,1,0,0
T0014,16:33:00,16:33:15,S005,2,0,0
T0014,16:36:00,16:36:15,S004,3,0,0
T0014,16:39:00,16:39:15,S003,4,0,0
T0014,16:42:00,16:42:15,S002,5,0,0
T0014,16:45:00,16:45:15,S001,6,0,0
T0015,18:30:00,18:30:15,S006,1,0,0
T0015,18:33:00,18:33:15,S005,2,0,0
T0015,18:36:00,18:36:15,S004,3,0,0
T0015,18:39:00,18:39:15,S003,4,0,0
T0015,18:42:00,18:42:15,S002,5,0,0
T0015,18:45:00,18:45:15,S001,6,0,0
T0016,20:30:00,20:30:15,S006,1,0,0
T0016,20:33:00,20:33:15,S005,2,0,0
T0016,20:36:00,20:36:15,S004,3,0,0
T0016,20:39:00,20:39:15,S003,4,0,0
