route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
R001,WEEKDAY,T0001,R001线-正向,0,shp_001
R001,WEEKDAY,T0002,R001线-正向,0,shp_001
R001,WEEKDAY,T0003,R001线-正向,0,shp_001
R001,WEEKDAY,T0004,R001线-正向,0,shp_001
R001,WEEKDAY,T0005,R001线-正向,0,shp_001
R001,WEEKDAY,T0006,R001线-正向,0,shp_001
R001,WEEKDAY,T0007,R001线-正向,0,shp_001
R001,WEEKDAY,T0008,R001线-正向,0,shp_001
R001,WEEKDAY,T0009,R001线-反向,1,shp_001
R001,WEEKDAY,T0010,R001线-反向,1,shp_001
R001,WEEKDAY,T0011,R001线-反向,1,shp_001
R001,WEEKDAY,T0012,R001线-反向,1,shp_001
R001,WEEKDAY,T0013,R001线-反向,1,shp_001
R001,WEEKDAY,T0014,R001线-反向,1,shp_001
R001,WEEKDAY,T0015,R001线-反向,1,shp_001
R001,WEEKDAY,T0016,R001线-反向,1,shp_001
R001,WEEKEND,T0017,R001线-正向,0,shp_001
R001,WEEKEND,T0018,R001线-正向,0,shp_001
R001,WEEKEND,T0019,R001线-正向,0,shp_001
R001,WEEKEND,T0020,R001线-正向,0,shp_001
R001,WEEKEND,T0021,R001线-正向,0,shp_001
R001,WEEKEND,T0022,R001线-正向,0,shp_001
R001,WEEKEND,T0023,R001线-反向,1,shp_001
R001,WEEKEND,T0024,R001线-反向,1,shp_001
R001,WEEKEND,T0025,R001线-反向,1,shp_001
R001,WEEKEND,T0026,R001线-反向,1,shp_001
R001,WEEKEND,T0027,R001线-反向,1,shp_001
R001,WEEKEND,T0028,R001线-反向,1,shp_001
R002,WEEKDAY,T0029,R002线-正向,0,shp_002
R002,WEEKDAY,T0030,R002线-正向,0,shp_002
R002,WEEKDAY,T0031,R002线-正向,0,shp_002
R002,WEEKDAY,T0032,R002线-正向,0,shp_002
R002,WEEKDAY,T0033,R002线-正向,0,shp_002
R002,WEEKDAY,T0034,R002线-正向,0,shp_002
R002,WEEKDAY,T0035,R002线-正向,0,shp_002
R002,WEEKDAY,T0036,R002线-正向,0,shp_002
R002,WEEKDAY,T0037,R002线-反向,1,shp_002
R002,WEEKDAY,T0038,R002线-反向,1,shp_002
R002,WEEKDAY,T0039,R002线-反向,1,shp_002
R002,WEEKDAY,T0040,R002线-反向,1,shp_002
R002,WEEKDAY,T0041,R002线-反向,1,shp_002
R002,WEEKDAY,T0042,R002线-反向,1,shp_002
R002,WEEKDAY,T0043,R002线-反向,1,shp_002
R002,WEEKDAY,T0044,R002线-反向,1,shp_002
R002,WEEKEND,T0045,R002线-正向,0,shp_002
R002,WEEKEND,T0046,R002线-正向,0,shp_002
R002,WEEKEND,T0047,R002线-正向,0,shp_002
R002,WEEKEND,T0048,R002线-正向,0,shp_002
R002,WEEKEND,T0049,R002线-正向,0,shp_002
R002,WEEKEND,T0050,R002线-正向,0,shp_002
R002,WEEKEND,T0051,R002线-反向,1,shp_002
R002,WEEKEND,T0052,R002线-反向,1,shp_002
R002,WEEKEND,T0053,R002线-反向,1,shp_002
R002,WEEKEND,T0054,R002线-反向,1,shp_002
R002,WEEKEND,T0055,R002线-反向,1,shp_002
R002,WEEKEND,T0056,R002线-反向,1,shp_002
R003,WEEKDAY,T0057,R003线-正向,0,shp_003
R003,WEEKDAY,T0058,R003线-正向,0,shp_003
R003,WEEKDAY,T0059,R003线-正向,0,shp_003
R003,WEEKDAY,T0060,R003线-正向,0,shp_003
R003,WEEKDAY,T0061,R003线-正向,0,shp_003
R003,WEEKDAY,T0062,R003线-正向,0,shp_003
R003,WEEKDAY,T0063,R003线-反向,1,shp_003
R003,WEEKDAY,T0064,R003线-反向,1,shp_003
R003,WEEKDAY,T0065,R003线-反向,1,shp_003
R003,WEEKDAY,T0066,R003线-反向,1,shp_003
R003,WEEKDAY,T0067,R003线-反向,1,shp_003
R003,WEEKDAY,T0068,R003线-反向,1,shp_003
R004,WEEKDAY,T0069,R004线-正向,0,shp_004
R004,WEEKDAY,T0070,R004线-正向,0,shp_004
R004,WEEKDAY,T0071,R004线-正向,0,shp_004
R004,WEEKDAY,T0072,R004线-正向,0,shp_004
R004,WEEKDAY,T0073,R004线-正向,0,shp_004
R004,WEEKDAY,T0074,R004线-反向,1,shp_004
R004,WEEKDAY,T0075,R004线-反向,1,shp_004
R004,WEEKDAY,T0076,R004线-反向,1,shp_004
R004,WEEKDAY,T0077,R004线-反向,1,shp_004
R004,WEEKDAY,T0078,R004线-反向,1,shp_004
R005,WEEKDAY,T0079,R005线-正向,0,shp_005
R005,WEEKDAY,T0080,R005线-正向,0,shp_005
R005,WEEKDAY,T0081,R005线-正向,0,shp_005
R005,WEEKDAY,T0082,R005线-正向,0,shp_005
R005,WEEKDAY,T0083,R005线-反向,1,shp_005
R005,WEEKDAY,T0084,R005线-反向,1,shp_005
R005,WEEKDAY,T0085,R005线-反向,1,shp_005
R005,WEEKDAY,T0086,R005线-反向,1,shp_005
